year ,  count
,
1900,15992
1901,17506
1902,18075
1903,16555
1904,19318
1905,18486
1906,17687
1907,19496
1908,20847
1909,21701
1910,20780
1911,20504
1912,22688
1913,22864
1914,21190
1915,18878
1916,19572
1917,18263
1918,16499
1919,18542
1920,22950
1921,25381
1922,25820
1923,29597
1924,31753
1925,32728
1926,32623
1927,35669
1928,39000
1929,39191
1930,42998
1931,42070
1932,43441
1933,43703
1934,44400
1935,44603
1936,46915
1937,46087
1938,46870
1939,45475
1940,41076
1941,41008
1942,37774
1943,34834
1944,32113
1945,51526
1946,61664
1947,72751
1948,81809
1949,90748
1950,97529
1951,102476
1952,106674
1953,108515
1954,113950
1955,100346
1956,115670
1957,122880
1958,133849
1959,137424
1960,151862
1961,179267
1962,188096
1963,196075
1964,221303
1965,288761
1966,327198
1967,349364
1968,364891
1969,399411
1970,405800
1971,420226
1972,448751
1973,459082
1974,495442
1975,566378
1976,606680
1977,683770
1978,703958
1979,728896
1980,749494
1981,775630
1982,810979
1983,875203
1984,893763
1985,893646
1986,909514
1987,922854
1988,917336
1989,927850
1990,1007106
1991,1046464
1992,1060808
1993,1103283
1994,1161214
1995,1212183
1996,1272196
1997,1303590
1998,1315237
1999,1303803
2000,1348030
2001,1326893
2002,1372714
2003,1438964
2004,1533279
2005,1735077
2006,1831897
2007,1992187
2008,2121678
2009,2261179
2010,2302654
2011,2426736
2012,2552146
2013,2652097
2014,2760479
2015,2825216
2016,2919514
2017,2446416
2018,304
Total,69326157